teamId,teamName,submissionDate,score
16364346,cstl,2026-08-26 15:48:54.356000,5.99
16371045,Lord Han Solo,2026-08-27 03:49:47.303000,4.99
15486995,Tufa Labs,2026-08-26 01:32:53.736000,4.67
15823039,Tong Hui Kang,2026-08-27 01:11:30.036000,3.88
16609552,rfbr,2026-08-26 14:47:03.723000,3.37
16665305,Tony G,2026-08-26 00:43:50.766000,3.17
15490570,@Abstraction Lab & MindsAI,2026-08-26 23:37:43.416000,2.94
16384837,Daniel Franzen,2026-08-26 23:48:27.876000,2.88
15497833,Tony Li,2026-08-26 23:10:21.636000,2.80
16296124,Tatu Helander,2026-08-26 00:00:33.566000,2.78
15906822,Akhil Tolani,2026-08-27 00:32:10.253000,2.73
16617501,AbeLincoln1865,2026-08-26 13:30:31.056000,2.72
15972322,wking edewd,2026-08-22 02:47:50.063000,2.70
16766034,Diya Sharma,2026-08-24 11:20:25.040000,2.69
15653548,The AGI Boys,2026-08-26 08:35:48.893000,2.66
